datetime,2020-05_lgh1_CO2_livingroom,2020-05_lgh1_light_livingroom,2020-05_lgh1_rh_livingroom,2020-05_lgh1_temp_livingroom,2020-05_lgh1_temp_outdoor,occupancy
2020-05-20 05:00:00,617.5599899291992,79.0,27.0,23.9799995422363,7.42000007629395,
2020-05-20 05:30:00,608.3733418782552,92.0,26.75,,7.92000007629395,
2020-05-20 06:00:00,638.8800048828125,69.90400009155273,,,8.4399995803833,
2020-05-20 06:30:00,577.9999923706054,80.175555759006,25.857142857142858,23.8199996948242,8.699999809265137,
2020-05-20 07:00:00,494.3999938964845,86.39000034332267,24.0,23.60999965667725,8.699999809265137,0.0
2020-05-20 07:30:00,465.920013427734,117.38999938964841,23.0,,9.21999979019165,
2020-05-20 08:00:00,,95.16200027465815,,,10.0,
2020-05-20 08:30:00,,104.64166641235347,23.0,23.4599990844727,10.5100002288818,1.0
2020-05-20 09:00:00,458.13333129882795,125.58666592552548,,23.3400001525879,10.76500034332275,0.0
2020-05-20 09:30:00,464.959991455078,138.70769148606522,22.0,,10.6120002746582,1.0
2020-05-20 10:00:00,538.0622185601128,137.14133300781248,,23.490000724792452,10.76500034332275,
2020-05-20 10:30:00,614.4000244140625,123.6311090257433,22.333333333333332,,11.020000139872232,
2020-05-20 11:00:00,628.3200073242185,132.86769133347732,21.333333333333332,23.6599998474121,11.27500009536745,
2020-05-20 11:30:00,550.3360046386717,202.98086780050534,,,11.530000050862634,
2020-05-20 12:00:00,477.440002441406,250.3105877147002,20.0,,11.529999971389776,0.0
2020-05-20 12:30:00,522.0800018310547,323.1347369143837,,23.7600002288818,12.54400005340578,1.0
2020-05-20 13:00:00,574.3200073242188,349.68922893817614,,23.920000076293952,12.834285872323202,
2020-05-20 13:30:00,596.2133382161459,376.8840774224729,,24.13000011444095,12.547500133514426,
2020-05-20 14:00:00,607.5733439127604,235.95130456012228,,24.340000152587898,12.29500007629395,
2020-05-20 14:30:00,553.1428571428571,119.68533325195303,18.666666666666668,24.5,,
2020-05-20 15:00:00,582.6399993896484,72.4,19.142857142857142,,11.5299997329712,
2020-05-20 15:30:00,616.0,61.2,19.625,24.6000003814697,10.76500034332275,
2020-05-20 16:00:00,608.7999877929685,37.0,23.0,,10.0,
2020-05-20 16:30:00,626.880004882812,17.0,23.666666666666668,24.5,9.47999954223633,
2020-05-20 17:00:00,613.2399978637695,,,24.3999996185303,8.96000003814697,
2020-05-20 17:30:00,573.8971557617186,0.0,25.0,24.5,8.4399995803833,
2020-05-20 18:00:00,664.6857125418527,,24.0,24.6000003814697,7.92000007629395,
2020-05-20 18:30:00,638.4000244140625,,24.5,24.5,,
2020-05-20 19:00:00,632.0,,24.666666666666668,24.3999996185303,,
2020-05-20 19:30:00,621.760009765625,,,,7.42000007629395,
2020-05-20 20:00:00,625.440002441406,,,,,
2020-05-20 20:30:00,635.840026855469,,26.333333333333332,,,
2020-05-20 21:00:00,633.919982910156,,,24.5,,
2020-05-20 21:30:00,658.7599868774414,,,24.6000003814697,,
2020-05-20 22:00:00,604.2133382161456,,,24.5,,
2020-05-20 22:30:00,557.760009765625,,,24.3999996185303,,0.0
2020-05-20 23:00:00,550.8800048828125,,,24.2999992370605,6.67000007629395,1.0
2020-05-20 23:30:00,,,27.5,,,
2020-05-21 00:00:00,549.546651204427,,27.666666666666668,,5.92000007629395,1.0
2020-05-21 00:30:00,,,,,,
2020-05-21 01:00:00,560.5333455403646,,,,5.40999984741211,1.0
2020-05-21 01:30:00,562.8800048828125,,28.5,,,
2020-05-21 02:00:00,551.8399963378905,,,,,
2020-05-21 02:30:00,,,,24.13000011444095,5.92000007629395,
2020-05-21 03:00:00,575.2533365885416,,28.5,,6.67000007629395,
2020-05-21 03:30:00,590.5066731770834,,27.0,24.1800003051758,7.67000007629395,
